palette_name,industry,primary,secondary,accent,background,text,mood
Ocean Trust,healthcare,#2563EB,#60A5FA,#10B981,#F0F9FF,#1E3A5F,Calming professional trust
Medical Clean,healthcare,#0891B2,#67E8F9,#14B8A6,#FFFFFF,#164E63,Sterile precise reliable
Vault Secure,fintech,#1E293B,#334155,#22C55E,#0F172A,#E2E8F0,Secure dark professional
Money Green,fintech,#065F46,#10B981,#F59E0B,#F0FDF4,#022C22,Growth prosperity finance
Coral Commerce,ecommerce,#F43F5E,#FB7185,#F59E0B,#FFFBEB,#1C1917,Energetic urgent shopping
Midnight Shop,ecommerce,#1E1B4B,#4338CA,#F97316,#0F0E1A,#E0DEF7,Premium exclusive retail
Forest Organic,sustainability,#166534,#4ADE80,#A3E635,#F0FDF4,#14532D,Natural growth organic
Earth Tone,sustainability,#78350F,#D97706,#65A30D,#FFFBEB,#451A03,Warm grounded authentic
Startup Blue,saas,#3B82F6,#93C5FD,#8B5CF6,#EFF6FF,#1E3A5F,Modern trustworthy innovative
Indigo Pro,saas,#4338CA,#818CF8,#06B6D4,#EEF2FF,#1E1B4B,Premium professional tech
Sunset Warm,restaurant,#EA580C,#FB923C,#FBBF24,#FFF7ED,#431407,Warm appetizing inviting
Wine Dark,restaurant,#7F1D1D,#DC2626,#D97706,#1C0808,#FEE2E2,Elegant rich sophisticated
Rose Education,education,#BE185D,#F472B6,#8B5CF6,#FDF2F8,#500724,Engaging creative learning
Campus Green,education,#15803D,#4ADE80,#3B82F6,#F0FDF4,#14532D,Fresh growth academic
Slate Legal,legal,#334155,#64748B,#B45309,#F8FAFC,#0F172A,Authoritative sober trustworthy
Navy Attorney,legal,#1E3A5F,#3B82F6,#92400E,#F0F4F8,#0C1B2E,Traditional professional serious
Neon Night,nightlife,#7C3AED,#A855F7,#F43F5E,#0A0A0A,#E2E8F0,Vibrant exciting energetic
Electric Blue,gaming,#2563EB,#60A5FA,#10B981,#0D1117,#C9D1D9,Bold dynamic interactive
Creative Purple,agency,#7C3AED,#A78BFA,#EC4899,#FAF5FF,#3B0764,Creative expressive bold
Studio Black,agency,#18181B,#3F3F46,#EAB308,#09090B,#FAFAFA,Minimal sophisticated artistic
Mono Light,photography,#404040,#737373,#F5F5F5,#FAFAFA,#171717,Clean neutral unobtrusive
Gold Luxury,fashion,#1C1917,#78716C,#D4AF37,#FFFDF7,#0C0A09,Opulent refined exclusive
Fitness Fire,fitness,#DC2626,#F97316,#FBBF24,#1A1A1A,#FAFAFA,Energetic powerful motivating
Wellness Sage,fitness,#4D7C0F,#84CC16,#22D3EE,#F7FEE7,#1A2E05,Balance calm strength
Property Cream,realestate,#92400E,#D97706,#1D4ED8,#FFFBEB,#451A03,Warm inviting established
Modern Realtor,realestate,#1E293B,#475569,#3B82F6,#F8FAFC,#0F172A,Professional modern clean
Concrete Gray,logistics,#374151,#6B7280,#F59E0B,#F3F4F6,#111827,Industrial functional reliable
Dashboard Dark,logistics,#1F2937,#4B5563,#10B981,#111827,#D1D5DB,Data-focused precise clear
