style_name,description,key_properties,best_for
Brutalist,"Raw, unpolished, exposed structure. Monospace fonts, thick borders, no decorative elements.","border: 3px solid black; font-family: monospace; background: #fff","Developer tools, portfolios, art galleries"
Glassmorphism,"Frosted glass effect with backdrop blur. Semi-transparent cards with subtle borders.","backdrop-filter: blur(10px); background: rgba(255,255,255,0.1); border: 1px solid rgba(255,255,255,0.2)","Dashboards, music apps, modern SaaS"
Neomorphism,"Soft, extruded shapes using double shadows. Subtle depth without flat design.","box-shadow: 8px 8px 16px #d1d1d1, -8px -8px 16px #ffffff; border-radius: 12px","Settings panels, calculators, media players"
Minimalist Luxury,"Maximum whitespace, thin typography, muted palette. Every element earns its space.","font-weight: 300; letter-spacing: 0.05em; color: #1a1a1a; margin: 3rem 0","Fashion, luxury brands, architecture firms"
Editorial Magazine,"Typography-driven layouts with strong grid. Mixed sizes, pull quotes, image bleeds.","font-family: serif; font-size: clamp(2rem,5vw,4rem); column-gap: 2rem","Blogs, news sites, publishing platforms"
Dark Terminal,"Monochrome dark theme with green/amber accents. Code-like aesthetic.","background: #0d1117; color: #c9d1d9; font-family: 'JetBrains Mono'","Developer tools, CLI dashboards, hacker culture"
Soft Pastel,"Rounded corners, pastel colors, gentle shadows. Approachable and friendly.","border-radius: 16px; background: #fef3f0; color: #4a3728; box-shadow: 0 2px 8px rgba(0,0,0,0.05)","Children's apps, wellness, food delivery"
Corporate Clean,"Professional, structured, reliable. Blue-dominant palette with clear hierarchy.","font-family: 'Inter'; color: #1e3a5f; border-radius: 4px; background: #f8fafc","Enterprise SaaS, B2B platforms, banking"
Retro Pixel,"Pixel-perfect borders, 8-bit inspired typography, grid-based layouts.","image-rendering: pixelated; font-family: 'Press Start 2P'; border: 2px solid","Gaming platforms, nostalgic brands, indie projects"
Organic Natural,"Earth tones, rounded blob shapes, hand-drawn illustrations. Warm textures.","border-radius: 50% 40% 60% 30%; background: #f5ebe0; color: #3d2c2e","Sustainability, organic food, wellness"
Art Deco Geometric,"Bold geometry, gold accents, symmetrical patterns. 1920s luxury meets digital.","background: linear-gradient(135deg, #0c0c0c 50%, #1a1a2e 50%); color: #d4af37","Hotels, cocktail bars, luxury events"
Neon Cyberpunk,"Dark backgrounds, vibrant neon glows, futuristic typography. High contrast.","background: #0a0a0a; text-shadow: 0 0 10px #ff00ff, 0 0 40px #ff00ff","Gaming, nightlife, tech events"
Swiss International,"Grid-based, left-aligned, sans-serif. Clean hierarchy through size and weight.","font-family: 'Helvetica Neue'; text-align: left; display: grid; gap: 1.5rem","Museums, universities, government sites"
Gradient Mesh,"Colorful gradient backgrounds, floating elements, depth through color.","background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); color: white","Creative tools, music platforms, social apps"
Industrial Workshop,"Concrete textures, stencil fonts, utilitarian layout. Raw and functional.","font-family: 'Oswald'; text-transform: uppercase; background: #2d2d2d; letter-spacing: 0.1em","Manufacturing, automotive, construction"
Playful Illustrated,"Hand-drawn borders, illustration-heavy, bouncy animations. Pure delight.","border: 2px dashed; animation: bounce 1s ease; font-family: 'Fredoka One'","Kids education, games, creative tools"
Monochrome Elegant,"Single color in many shades. Sophisticated restraint. Typography carries the design.","color: #2c2c2c; background: #fafafa; border-bottom: 1px solid #e0e0e0","Photography portfolios, law firms, consulting"
High Contrast Accessible,"Maximum readability. Large text, clear hierarchy, WCAG AAA compliance.","font-size: 18px; line-height: 1.8; color: #000; background: #fff; border: 2px solid","Healthcare, government, education, accessibility-first"
Scandinavian Minimal,"Soft neutrals, functional beauty, nature-inspired. Hygge for digital.","background: #f7f5f3; color: #3d3d3d; border-radius: 8px; font-family: 'DM Sans'","Furniture, interior design, lifestyle brands"
Material Design 3,"Google's design language. Dynamic color, elevation tokens, shape themes.","border-radius: 12px; box-shadow: var(--md-sys-elevation-1); font-family: 'Roboto Flex'","Android apps, Google ecosystem, productivity tools"
