industry,rule,description
healthcare,HIPAA Visual Cues,"Use trust indicators: shield icons, lock symbols. Blue/green palettes signal safety."
healthcare,Accessibility First,"WCAG 2.1 AA minimum. High contrast ratios (4.5:1+). Large touch targets (44px+)."
healthcare,Clean Data Display,"Medical data needs whitespace. Avoid clutter. Use cards for patient info."
healthcare,Calming Color Palette,"Soft blues (#4A90D9), greens (#7BC67E), whites. Avoid aggressive reds for primary UI."
healthcare,Professional Typography,"Use humanist sans-serifs (Source Sans, Nunito). 16px+ body text for readability."
fintech,Trust Through Precision,"Exact numbers, no rounding. Align decimals. Use monospace for financial data."
fintech,Security Visual Language,"Two-factor icons, encrypted badges, biometric indicators build trust."
fintech,Dark Mode Priority,"Finance users prefer dark themes for extended use. Reduce eye strain."
fintech,Data Density Balance,"Show key metrics upfront. Progressive disclosure for detailed breakdowns."
fintech,Status Color System,"Green=positive, Red=negative, Yellow=pending. Never use red for non-error states."
ecommerce,Product Image Priority,"Hero images above fold. Minimum 500x500px. White backgrounds for consistency."
ecommerce,Cart Always Visible,"Persistent cart icon with item count. One-click add. Slide-out cart panel."
ecommerce,Trust Badges,"Payment security, shipping guarantees, return policy visible near buy buttons."
ecommerce,Urgency Without Dark Patterns,"Stock levels, limited offers ok. No fake countdowns or artificial scarcity."
ecommerce,Mobile Checkout Flow,"Max 3 steps. Auto-fill everything possible. Guest checkout always available."
saas,Onboarding Progressive Disclosure,"Don't show everything at once. Guide users through core value in 3-5 steps."
saas,Empty States Are Marketing,"Every empty state should explain value and show a clear next action."
saas,Dashboard Hierarchy,"KPI cards top, charts middle, tables bottom. Most important metric is largest."
saas,Settings Organization,"Group by function, not by feature. Search within settings. Breadcrumb navigation."
saas,Pricing Page Clarity,"3 tiers max. Highlight recommended. Annual/monthly toggle. Feature comparison table."
education,Gamification Elements,"Progress bars, achievement badges, streaks. Celebrate completions."
education,Readable Long Content,"Max 70 characters per line. 1.6+ line height. Serif fonts for reading."
education,Interactive Examples,"Code playgrounds, quizzes, drag-drop exercises. Learning by doing."
education,Visual Knowledge Hierarchy,"Clear chapter/section/subsection structure. Breadcrumbs for navigation."
education,Distraction-Free Mode,"Toggle to hide navigation, sidebar. Focus on content only."
restaurant,Menu Photography,"Full-width food images. Warm color temperature. Natural lighting feel."
restaurant,Easy Ordering Flow,"Category tabs, item cards, quick-add buttons. Order summary always visible."
restaurant,Location & Hours Prominent,"Above fold on every page. Map embed. Click-to-call phone number."
restaurant,Social Proof Integration,"Review scores, Instagram feed, TripAdvisor widget near hero section."
restaurant,Mobile-First Ordering,"Thumb-friendly tap targets. Swipe between categories. Sticky order bar."
realestate,Property Gallery Focus,"Full-screen photo galleries. Virtual tours. Floor plan viewer."
realestate,Map Integration Essential,"Interactive maps with property pins. Neighborhood data. Commute times."
realestate,Filter-Heavy Search,"Price range sliders, bedroom/bathroom counts, amenity checkboxes. Save searches."
realestate,Agent Contact CTAs,"Every listing needs a contact form. Agent photo builds trust."
realestate,Market Data Display,"Price trends, comparable sales, school ratings. Data builds buyer confidence."
fitness,Motivational Design,"Bold typography, energetic colors (orange, red, electric blue). Action-oriented CTAs."
fitness,Progress Visualization,"Charts for weight, reps, distance. Before/after comparisons. Streak calendars."
fitness,Video Content Priority,"Exercise demonstrations need large video players. Slow-motion capability."
fitness,Social Features,"Leaderboards, workout sharing, challenge invitations. Community feeds."
fitness,Wearable Data Integration,"Heart rate, steps, calories display. Sync status indicators."
legal,Formal Typography,"Serif fonts (Georgia, Lora). Professional spacing. Document-like layouts."
legal,Document Management UI,"Version history, annotation tools, clause highlighting. PDF preview."
legal,Trust & Credentials,"Bar association badges, case results, attorney bios with credentials."
legal,Confidentiality Indicators,"Encrypted document badges, NDA status, access control visibility."
legal,Clear Fee Structure,"Hourly rates, retainer options, payment plans. No hidden costs."
agency,Portfolio Showcase,"Full-screen project galleries. Case study layouts. Before/after sliders."
agency,Creative Typography,"Display fonts for headlines. Mixed serif/sans-serif. Variable font weights."
agency,Process Visualization,"Step-by-step workflow graphics. Timeline animations. Service breakdowns."
agency,Team Photography,"Candid team photos, not stock. Individual bios with personality."
agency,Client Logo Grids,"Recognizable client logos in grid. Grayscale default, color on hover."
logistics,Tracking Dashboard,"Real-time status updates, map tracking, ETA calculations, delivery timeline."
logistics,Data Table Optimization,"Sortable columns, inline editing, bulk actions, export functionality."
logistics,Status Color Coding,"Clear color system: pending=yellow, in-transit=blue, delivered=green, problem=red."
logistics,Route Visualization,"Map-based route display, waypoint markers, traffic overlay, distance metrics."
logistics,Mobile Driver Interface,"Large buttons, voice commands, one-hand operation, offline capability."
